No;Label;Tweet
1;Netral;adek gue positif covid-. gejalanya pilek  batuk  demam  dan anosmia. sekeluarga udah tes  hasilnya negatif. skrg lagi isolasi mandiri. anaknya nyaris ga pernah ke mana-mana. kemungkinan terpapar saat dia antre vaksin rumah beberapa hari yang lalu. kencengin hati-hatinya ya
2;Netral;Adi menambahkan  selain RS Rujukan Covid- dan produsen oksigen  PLN juga mensiagakan personel untuk menjaga keandalan di lokasi isolasi se-Jawa Timur diantaranya YPPII Malang  Rusun UB Dieng  Badan Diklat Malang. 
3;Netral;Afrika Selatan telah menyetujui vaksin sinovac China untuk melawan COVID-. Afrika Selatan diketahui saat ini tengah menghadapi gelombang infeksi ketiga. https://t.co/ceLsOfPss 
4;Netral;Akibat paranoid: Ada yg bilang minum  kaleng susu Beruang sembuuh.......ya memang covid   % sembuh sendiri ğŸ˜ğŸ˜ https://t.co/XOqvpJd 
5;Positif;Alhamdulilah  orang di Jalan Pt Ibrahim telah mendaftar vaksin dalam Program Pendaftaran Vaksin bersama Penubuhan Team Data. Sumbangan RM kepada Pesakit Covid  juga diberikan bersama Penghulu Mukim PontiN dan JPKK Pt Ibrahim. https://t.co/IppJwQplZb 
6;Netral;am LEMBAH KLANG : Aliran trafik disemua lebuhraya bertol secara keseluruhanya masih lancar  terkawal berikutan aliran trafik rendah. Laksanakan `lockdown' kendiri  patuhi SOP bagi membendung penularan Covid-. Selamat berhujung minggu. LindungDiriLindungSemua 
7;Negatif;amah gue positif C-ğŸ˜­ sedih bgt pas dapet kabar kalo amah terpapar covid dari susternyağŸ˜­ğŸ˜­ mohon bantu doa nya gais buat kesembuhan amah gue sama susternya semoga cepet negatifğŸ˜­ alhamdulillah nya amah gue tanpa gejala apapun  tpi tetep aja sedih bgt kenapa harus amah gueğŸ˜­ğŸ˜­ 
8;Netral;Demi keamanan  tidak menutup kemungkinan ibu hamil juga akan diberi vaksin Covid-. Ayahbunda ibuhamil VaksinasiCovid https://t.co/ZfQecQV 
9;Netral;Ambil maklum makluman berhubung Covid Assessment Centre Kuala Lumpur    Putrajaya bagi mereka yang positif Covid-. Kolomposihat sihatmilikku covidassessmentcentre covid https://t.co/lBTUMB 
10;Netral;Ambil maklum makluman berhubung Covid Assessment Centre Selangor bagi mereka yang positif Covid-. sihatmilikku covidassessmentcentre covid https://t.co/xdSobfAuz 
11;Netral;Nah  supaya anak anak lebih mudah tahu cara kerja vaksin  yuk sore ini jam : wib atau jam : wita ngumpul di FB : Geppuk Id  Kak Heru akan bercerita tentang si Imun yang bertemu dengan si Novac utk bekerjasama melawan virus Covid-    https://t.co/QHogKviIHy 
12;Netral;Ternyata . Anak di Jakarta Positif Covid- di Hari Pertama PPKM Darurat https://t.co/dtBYKXvVn TempoMetro 
13;Negatif;Di saat ancaman sakit dan kematian krn covid- bgt tinggi  yuk perbnyk bicara    lakukan hal berguna bg orang bnyk. Stop cari masalah    kesalahan orang lain hny spy dirinya seolah baik. Orang baik itu suka bicara kebaikan  orang buruk suka cari keburukan. 
14;Netral;Andai Wisma Hambalang tidak MANGKRAK  tentu pelayanan Pemerintahan Jokowi akan lebih leluasa dalam menangani pasien Covid-.. https://t.co/FUibKDOU 
15;Negatif;Janganlah anggap remeh wabah Covid- ini. Kasus Berat terus membanjiri IGD  atau terkapar di rumah karena RS sudah tak bisa menampung lagi. Bukan Obat atau HET Obat  yg dibutuhkan untuk kendalikan Pandemi  tetapi Perilaku Manusia. Butuh Kesadaran bersama jauhi risiko tertular. https://t.co/gLPAaBsl 
16;Negatif;Anggota Komisi XI DPR dari Fraksi Partai Demokrat Didi Irawadi menilai  Jka pemerintah terus memaksakan pemindahan ibu kota negara (IKN) baru di tengah lonjakkan kasus Covid-. semakin menunjukkan bahwa pemerintah  tdk memiliki sikap empati kepd rakyatnya https://t.co/yeDRmUQB 
17;Netral;KUANTAN   JULAI  : Kapasiti bagi kesemua empat Pusat Kuarantin dan Rawatan COVID- (PKRC) di negeri ini hanya berbaki  peratus sahaja lagi bagi menampung pesakit baharu.  Berita penuh&gt &gt  https://t.co/nCGCYOiwhc https://t.co/ZikxiVHfr 
18; Netral;KUANTAN   JULAI  : Kluster Rantau Kenanga merupakan jangkitan daripada varian baharu yang membimbangkan (VOC) iaitu varian Delta B.. yang pertama kali dikesan di India yang dikenali sebagai Super Strain. Berita penuh&gt &gt  https://t.co/MsQzVCMqFe https://t.co/GDMqdxvrdo
19;Positif;Antrian ambulance membawa pasien covid  dijogja mlm Ini. Semoga mereka terlayani dan pulih kembali.  Semangat utk kru ambulance yg terus berjuang menghantar pasien   semangat utk nakes RS Se Jogjakarta. https://t.co/cVaMXKWkg 
20;Positif;Sejak  april hingga sekarang  Banser Tanggap Bencana (Bagana) (Bagana) Kabupaten Pekalongan sudah memakamkan  jenazah covid. Takut? Itu pasti ! Namun  ini ialah panggilan jiwa dan cinta kami bagi negeri ini. https://t.co/gRJtwsZH
21;Positif;AS Dukung Indonesia Melawan Peningkatan Kasus COVID-   Sindonews BukanBeritaBiasa .https://t.co/tpdCJOat 
22;Positif;AS akan Kirim  Juta Vaksin Covid- Moderna ke Indonesia. Kedua pejabat tersebut juga membahas rencana AS untuk meningkatkan bantuan bagi upaya respons covid- Indonesia yang lebih luas.  https://t.co/ZyjdRpSC 
23;Netral;Asrama Haji di Indonesia Sudah Tampung . Pasien Covid- https://t.co/WeLuiF https://t.co/rCPlsBZK 
24;Positif;Untuk mengatasi lonjakan kasus Covid- tersebut  Gubernur Jawa Timur Khofifah Indar Parawansa langsung gerak cepat 
25;Netral;  Sepertinya peraturan awal memang ketat tetapi kesini nya agak longgar  tetapi tetap menggunakan prokes Covid-. 
26;Netral;Australia Akan Perlakukan COVID- Sama Seperti Flu   Australia akan melakukan empat tahap menuju kenormalan hidup  dalam menangani COVID- nantinya memperlakukan virus corona sama seperti perlakuan terhadap virus flu.  https://t.co/mDUeMFZE 
27;Positif;Awali hari dengan BERITABAIKHARIINI kerjasama dengan ! Setiap pagi  Tim PAGIPAGI akan memberikan berita baik yang Informatif    Inspiratif.  Update berita baik lainnya di portal https://t.co/zLzLYvJnfr - Karena selalu ada berita baik. Radio Lawan Covid . https://t.co/TolKQHgnH 
28;Negatif;AwasBahayaVirusKadrun Disaat pemerintah sedang berkonsolidasi melawan pandemi Covid-  mahasiswa seharusnya mendukungnya.namun apa yang dilakukan BEM UI malah sebaliknya memberi kritikan tampa data dan tampa solusi. BEM UI kemungkinan telah ditunggangi kelompok kepentingan. https://t.co/fVTomQsvr 
29;Positif;Ayo olahraga guys  keluarkan keringat tingkatkan imun  lawan covid . https://t.co/hXlzeTkd 
30; Positif;Ayo Pakai Masker  Serta Tetap Disiplin Protokol Kesehatan  Cegah Penyebaran Virus Covid .  DivHumasPolri PoldaKaltim PolrestaSamarinda PolsektaSungaiKunjang AyoPakaiMasker PatuhiProtokolKesehatan CegahVirusCovid https://t.co/AXsEHVN
31;Positif;AyoTaatiM TaatiProtokolKesehatan  Disaat pandemi covid  dan pemberlakuan PPKM Darurat TNI Polri tdk bosan bosan nya menghimbau kpd warga agr tertib taati prokes agr terhindar dari Covid  dan menerapkan  M dlm kehidupan sehari dan Jgb  kita  menjadi korban virus Corona https://t.co/nhfjbJWMu 
32;Negatif;BAGAMANA COVID- MENURUTMU ?  . Tidak Nyata Penyakitnya. Bohongan Saja dan Jadi Bisnis Vaksin . Nyata Penyakitnya. Sengaja Dibuat dan Jadi Bisnis Vaksin . Silahkan Isi Jika Ada Pendapat Lain  Setelah Koment RT ya 
33;Negatif;Ada baiknya kita berhenti mengindahkan para konspirator Covid-. Itu hanya membantu mereka menjaga cerita-ceritanya tetap hidup. Ada situasi yang lebih urgen di rumah sakit yang sedang kewalahan. Membahas mereka juga tidak berkontribusi memperbaiki situasi kita. Terima kasih. 
34;Positif;Bakti ğ—£ğ—¼ğ—¹ğ—¿ğ—¶ Menjaga Keselamatan Masyarakat. ğ˜’ğ˜¦ğ˜´ğ˜¦ğ˜­ğ˜¢ğ˜®ğ˜¢ğ˜µğ˜¢ğ˜¯ ğ˜”ğ˜¢ğ˜´ğ˜ºğ˜¢ğ˜³ğ˜¢ğ˜¬ğ˜¢ğ˜µ ğ˜ğ˜µğ˜¶ ğ˜—ğ˜³ğ˜ªğ˜°ğ˜³ğ˜ªğ˜µğ˜¢ğ˜´.mari bersama berkontribusi mencegah Penularan Covid- dengan tetap mematuhi Protokol Kesehatan serta ikut vaksinasi Covid-  SemangatPresisiPolresGorontalo https://t.co/CEkpbo 
35;Positif;BANGKITKAN UMAT BANGKITKAN INDONESIA!  Mari terus jaga semangat zakat dan energi kedermawanan kita  agar Indonesia tetap kuat di tengah krisis pandemik covid- Prof. Hilman Latief  M.A  Ph.D   MiladLazismu Lazismu Muhammadiyah MemberiUntukNegeri ZakatBangkitkanIndonesia https://t.co/fVvNTjOiS 
36;Netral;Bila ada banjir bandang kasus Covid- dari atas mengalir ke bawah  bagaimanapun meski ada bak penampungan (rumah sakit) juga 
37;Netral;BANTUAN KECEMASAN NGO BELIA GOMBAK  Ini adalah talian Bantuan Kecemasan COVID- Gabungan NGO Belia Gombak. Sila hubungi nombor yang tertera jika anda memerlukan bantuan keperluan asas/makanan ketika PKP ini.  Hotline : -  (Whatsapp sahaja) https://t.co/DHVrLsdSN https://t.co/HDdrfIPSyW 
38;Positif;Bantu Tangani Covid-  DPRD Kutim Minta Cleaning Service Diperhatikan detakkaltim https://t.co/fEIWitdImO 
39;Positif;Barusan ada orang bercerita tentang hal lucu.dia divonis covid- padahal sudah di fucksin lebih dari x.setelah di memberikan ket ke dr telah fauckin tiba tiba si dr tersebut menarik statement nya dan menyarankan istirahat dan minum air putih yg banyak.artinya ini ada dagangan 
40;Netral;Belasan Rumah Sakit di Surabaya Tutup Sementara Layanan IGD dan Tidak Menerima Pasien Covid- (odp-is) https://t.co/sauUkNaYRU 
41;Negatif;Sebejat-bejatnya manusia adalah dia yang memanfaatkan keadaan darurat akibat pandemi covid- sambil menjual agama untuk membuat negara ini chaos. https://t.co/UTSCEYPG 
42;Negatif;Turut berbelasungkawa. Arief Harsono ini adalah pemilik Samator  produsen oksigen medis terbesar di Indonesia. Almarhum pun meninggal karena Covid-. https://t.co/oScwUnWb 
43;Positif;Belia Masjid Perlis dengan kerjasama Masjid Negeri  Arau telah melancarkan Projek Food Bank. Inisiatif ini adalah bagi meringankan beban golongan yang terkesan oleh pandemik Covid-.  https://t.co/TnXhPsawrw
44;Positif;Bersholawat Nariyah dan berdo'a bersama untuk keselamatan bangsa agar segera terbebas dari wabah pandemi Covid-  begitu juga Blora... Bismillah Allahumma Aamiin ğŸ¤²ğŸ¤² AriefRohman      https://t.co/BJFDdSInR 
45;Negatif;Berwudhu tidak menghancurkan virus Corona  karena Covid- bukanlah kotoran biasa seperti debu.  Wudhu sudah ditetapkan dalam ilmu Islam untuk menyucikan diri sbg syarat sah sholat.  Jangan mabok agama macam Walkot Depok deh.  Belajarlah agama pada orang berilmu ğŸ™ https://t.co/fXbTyTry https://t.co/mWaLJwhoGS 
46;Netral;BFL_ AI BFL_URGENT Bandung JawaBarat | Dibutuhkan donor PlasmaKonvalesen dari penyintas Covid- | GolDar A+ | Hubungi CP  |  cc        TV  https://t.co/rRWYMUoj 
47;Netral;Mau bikin utas ttg pentingnya vaksin covid- dilakukan.. ini berdasarkan pengalaman kedua org teman dekat ttg kondisi orgtua mreka msg.. smoga membuka pikiran org lain bahwa vaksin itu perlu dan wajib.. 
48;Negatif;Saya kok jadi bingung banyak bertebaran di teel video pernyataan Ichsanuddin Noorsy soal Covid- yang pakai dalil dan ngutif ayat Al-Quran.   Setahu saya dia itu ekonom  kok sekarang musim corona jadi mendadak ngustadz.  Tanya Kiyai ğŸ™    
49;Netral;Blue Bird buka layanan antar pasien covid  begini caranya https://t.co/QjDIEFweu 
50;Negatif;   Belom sampe kayak jakarta aja mereka  kalo di boom covid  baru tau rasa  kemana mau cari oksigen disana. 
51;Netral;Bos Samator Grup Arief Harsono meninggal dunia terpapar COVID-. SamatorGrup AriefHarsono  https://t.co/abTMAirYa 
52;Netral;Bos tabung oksigen aja meninggal  apalagi yang bukan. https://t.co/TLkdvDMO 
53;Negatif;BPK wajib melakukan audit supaya tahu berapa banyak yang masuk ke rekening koruptor https://t.co/jRbXCQcf 
54;Netral;BPOM Bergeming  Ini Sebab Ivermectin Belum Diizinkan Digunakan Luas  Kenapa BPOM dan FDA di Amerika Serikat dan EMA di Uni Eropa bersikukuh 'melawan arus' yang menghendaki pengobatan Covid- dengan ivermectin?  https://t.co/OLLaWfhv 
55;Negatif;Buntut Larang Salat Ied dan Takbiran  Menag Disebut Lebih Takut Covid- Dibanding Allah https://t.co/qATnEFGaH 
56;Negatif;Buntut Larang Sholat Ied dan Takbiran  Menag Disebut Lebih Takut Covid- Dibanding Allah SWT. https://t.co/PQKqdxbUD 
57;Netral;Dibutuhkan Donor ASI: Bayi laki-laki prematur  Lahir -- Butuh donor ASI krn ibu dirawat dg ventilator krn COVID- di ICU RSUD Dr. Soetomo sby Agama: Islam Posisi bayi di NICU RSUD Dr. Soetomo No. Hp + (Pak Yuda-Ayah bayi) Cc    
58;Netral;*CEGAH LONJAKAN COVID- TIM KESEHATAN SATGAS YONIF /RAJA PANDHITA  DAMPINGI VAKSINASI PERSIT DAN PERSONEL KORUM.* https://t.co/iXHKyHn 
59;Negatif;    Mencegah Penyebaran Covid itu dengan Protokol Masker  Jaga Jarak  Cuci Tangan. Bukan menutup Masjid  masjid   https://t.co/AuZFgznwho https://t.co/QjvtqdxHdu 
60;Positif;kita cegah penyebaran covid- dengan penerapan prokes dan do'a bersama  semoga pandemi segera berakhir  DoaDariDesaUmtukIndonesia  tppimagetan https://t.co/qepUnZh
61;Netral;Dari cerita nyata ini  hal yg bisa kita ambil : VAKSIN tidak membuat org tsb mjd kebal terhadap penyakit Covid-.. Jikalau memang pd akhirnya positif Covid-  keluhan yg dialami akan bersifat ringan  pemulihan berangsur lebih baik (dgn catatan : dlm kondisi perawatan di RS) 
62;Netral; Besar kemungkinan COVID- akan terus ada dan menjadi endemik  serta memerlukan vaksinasi berkala.   ICYMI AWANInews AWANIpagi MyVaksinCovid jomcucukvaksin  https://t.co/PGtgRrgi 
63;Negatif;Covid- Mengganas  Anggota DPRD Kutim Ingatkan Prokes Jangan Kendur detakkaltim https://t.co/yOocasy 
64;Netral;menyampaikan bahwa kasus Covid- di Jatim ini sudah mencapai third wave loh! 
65;Negatif; COVID- Jg sdg NGAMUKâ€¼ Apa anda ga peduli dg Lonjakan Covid-â“ Yg meninggal Banyak sampe penggali kubur kewalahan  RS Overloads sampe nakes kelelahan. Demi Kemanusiaan  Empati barang sedikit  Klo ga bs bantu apa jangan buat gaduh â€¼ 
66;Negatif;COVID-: Kes kematian sebelum tiba di hospital meningkat  kali ganda  https://t.co/mYygFoo 
67;Netral;Kasus Covid- Terus Melonjak  Sri Mulyani Naikkan Anggaran Kesehatan jadi Rp   Triliun https://t.co/VZtAiaKyb 
68;Negatif;    Covid - mengungkapkan pentingnya Maxisme-Leninisme: Kemanusiaan harus berbagi Sumber Daya  termasuk vaksin untuk mencapai kekebalan global ( persen) agar virus bermutasi  lebih sedikit berubah! Sayangnya  Negara Kaya  dengan lebih banyak vaksin daripada Negara Miskin 
69;Negatif;Covid-    Orang Terkaya Indonesia  Anda semua orang terkaya telah memperoleh keuntungan ratusan sd ribuan milyar rupiah dari negeri ini.  Mohon Anda tunjukkan kepedulian ke negara    rakyat: masing- Anda membeli  juta vaksin Pfizer/Moderna u/disuntikkan ke rakyat scr gratis. ğŸ™ https://t.co/mhaDlpdIO 
70;Netral;covid_  panama en Panama City  Panama https://t.co/Efvrbc 
71;Netral;Covid  akan mereda  nanti setelah ada acara pemilu. 
72;Netral;Kasus Baru Covid- Nyaris  Ribu  Ini Sebarannya di  Provinsi https://t.co/hHstAouO https://t.co/HLUfQVTm 
73;Netral;Kasus Covid- Meroket  Rangkaian Pernikahan Rizky Billar dan Lesti Resmi Diundur!Â  https://t.co/jhoKvVU Via  https://t.co/xIJtyn 
74;Positif;Covid- di SEMPRIT sama mereka yg disiplin dengan dirinya sendiri dan menghormati masyarakat di sekitar  top. Sehat selalu sedoyoğŸ‰ https://t.co/mIrPXaCH 
75;Negatif;Mungkinkah Covid- Digunakan Sebagai Senjata Dalam Konflik Geopolitik? https://t.co/RWjNjufwa liputanmedia bukamatanews 
76;Netral; Daaaa  baada ya COVID- ya India inafuata ya wapi? 
77;Netral;Daftar  Lokasi Isolasi Pasien Covid- di Jakarta: GOR  Rusun  hingga Sekolah - Metro Tempo https://t.co/FMVHepos 
78;Netral;ğ—–ğ—”ğ—¥ğ—” ğ—¡ğ—”ğ— ğ—–ğ—˜ğ—£ğ—”ğ—§ğ—ğ—”ğ—¡ ğ——ğ—”ğ—£ğ—”ğ—§ ğ—§ğ—”ğ—¥ğ—œğ—ğ—› ğ—©ğ—”ğ—ğ—¦ğ—œğ—¡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh  buka app MySejahtera dan cuba cara ini:  ) Klik pada â€˜Covid- Vaccinationâ€™ ) Pilih â€˜Vaccine Informationâ€™ https://t.co/MQPlqMuMG 
79;Netral;Berdasarkan rekomendasi WHO  tes untuk Covid- yang direkomendasikan adalah: . PCR . Tes Antigen  Tidak ada rekomendasi untuk penggunaan G*nos* atau alat berbasis deteksi VOC lainnya.  Yuk gunakan tes yang memang direkomendasikan WHO saja!! https://t.co/PohnvaiGe 
80;Netral;Data Positivity Rate Covid- sampai  Juli  https://t.co/raQDKmT https://t.co/XyQsXtXzRB 
81;Negatif;Diam di Rumah sekarang atau anda akhirnya harus sakit   isoman di rumah Dan kedulitan akses ke pengobatan !! Saat ini bukan waktunya sakit .. prokes wajib.  RS Rujukan Covid- Kolaps  Pasien-pasien Ini Meninggal Dunia di Rumah - https://t.co/VMkipffO https://t.co/mzpILuB 
82;Positif;Dianissa Rachman Puteri Indonesia Kaltim  Ajak Warga Samarinda Ikuti Vaksinasi Covid- - Tribun Kaltim https://t.co/fWLjPBJU 
83;Negatif; Begitu juga didaerahku tiada hari tanpa bunyi serine mobil ambulan... Kita blm berdaya melawan covid  krn sebagian warga + blm mematuhi prokes pemerintah. 
84;Negatif; Juga pendiri Samator Indonesia  yg ikut berjasa di kala pandemi Covid- ini. Turut berduka cita. ğŸ˜¢ğŸŒ¹â¤ https://t.co/xXRpaeEaF 
85;Netral;Disiplinkan dari diri kita untuk patuh mentaati protokol kesehatan dalam upaya pencegahan Covid- AyoPakaiMasker IngatM PatuhiProkes https://t.co/XtAWtAWiL 
86;Netral;Tetap Disiplin Protokol Kesehatan  Cegah Penyebaran Virus Covid .  DivHumasPolri PoldaKaltim PolrestaSamarinda PolsektaSungaiKunjang AyoPakaiMasker PatuhiProtokolKesehatan CegahVirusCovid https://t.co/uittafeNa 
87;Netral;Ada beberapa yang DM soal permenkes pemanfaatan obat tradisional. Ini lengkapnya :...... Sekali lagi ini bukan obat covid  loh ya. Semoga semuanya sehat. Tetap bermasker. Jaga kesehatan. Covid  itu nyata dan kita melawan dengan memanfaatkan yang ada untuk kesehatan kita. https://t.co/HGvkrWD 
88;Positif;Doa Dari Desa UntukIndonesia Kiranya Bangsa Indonesia Dipulihkan dari Pandemi Covid .             https://t.co/dWaDdYnOjw 
89;Positif;Doa bersama   semoga selalu sehat dan terhindar dari wabah Covid . DoaDariDesaUntukIndonesia             https://t.co/EgQytlZF 
90;Netral; Dokter Relawan Covid- Ungkap Penyebab Obat IVIG Berharga Mahal Dokter relawan   https://t.co/RlvYfejLbm 
91;Positif;bagi para DOKTER  TENAGA MEDIS yang sedang berjuang menghadapi covid-..  dan juga bagi kita semua yang sehat  sakit  atau sedang isoman..  bacalah yang diajarkan Nabi shollallahu 'alayhi wa sallam berikut ini  berulang-ulang hingga hati tenteram in-syaa Allah..  PPKMDarurat https://t.co/SYIXGPLO 
92;Negatif; . Double Standard.  . Banyak idea bodoh.  . Tak serius menangani kes COVID- dan terus bebankan frontliner. . SOP cacamarba.  . Tak sensitif  pekak  buta dan lambat peka ttg kesusahan rakyat . Terlampau bermain politik dan gila kuasa. . Memperbodohkan rakyat. 
93;Netral;Penduduk Taman Nagasari  Bukit Mertajam yang larikan diri digesa pulang jalani ujian saringan COVID- - MBSP  https://t.co/hdUXBSDzEh  MenangBersama LindungDiriLindungSemua https://t.co/juRVbbRc 
94;Negatif;Turut berduka cita.  Pabrik oksigennya pun tidak bisa menolong dia.  https://t.co/kFHrKW 
95;Positif;Kita dukung terus langkah pemerintah untuk memutuskan rantai penyebaran Covid- ya Sobat. Mari bersama kita patuhi kebijakan PPKM Darurat secara bijaksana. Indonesia Lawan Covid!  PPKMDaruratLindungiKita https://t.co/PMQiZSISi 
96;Negatif;INI KATA DUNIAâ–ªï¸mau ikutan doang lockdown model India tapi kebijakannya gak diikuti. Akibatnya  jika India sukses turunkan  kali lipat orang terinfeksi covid- di sini tetap gak jelas. Yg jelas berita kematian terus meluncur dari rumah ke rumah  dari teman ke teman.  NGERI. https://t.co/uLQMlVL 
